Sid	Symbol	Splice_type	Exons	Start_exon	End_exon	N.lineage	Anova.p (lineage subtype)	Anova.p (molecular subtype)	Num.mRNA	Cor.mRNA	Num.protein	Cor.protein	N.drug	Cor.drug
DPYD_ES_2_1_3	DPYD	ES	2	1	3	50	0.0214548332740011	0.0269699504376469	51	-0.463763148604652	28	-0.229460785146492	25	0.713728856606039
DRAM2_AD_1.2:1.3_1.1_2	DRAM2	AD	1.2:1.3	1.1	2	50	0.544385434009266	0.774477011348351	51	0.136397067035925	13	-0.199388657822603	26	0.710966725107811
DRAM2_AD_1.3_1.2_2	DRAM2	AD	1.3	1.2	2	50	0.0694656716160739	0.000382116266784804	51	0.118058513694204	13	-0.308115834813209	24	-0.751391197795133
DRAM2_ES_5_4_7	DRAM2	ES	5	4	7	50	0.62734805535156	0.108952722059175	49	-0.0173469387755102	13	0.175824175824176	25	-0.694615384615385
DRAM2_ES_6_4_7	DRAM2	ES	6	4	7	50	0.365465714866254	0.0516280009170311	49	0.148261634738015	13	0.369147406249219	25	0.718861084528455
DROSHA_ES_6_5_7	DROSHA	ES	6	5	7	50	0.538980915779982	0.867231792175836	50	-0.260888355342137	28	-0.292829775588396	25	-0.688461538461538
DROSHA_ES_6_5_8	DROSHA	ES	6	5	8	50	0.903011804563547	0.173082212058939	50	-0.120672268907563	28	0.0842911877394636	25	-0.653076923076923
DROSHA_ES_6:7_5_8	DROSHA	ES	6:7	5	8	50	0.166166906308299	0.234090810531778	50	0.00984393757503001	28	0.0377668308702791	26	-0.749059829059829
DROSHA_ES_7_5_8	DROSHA	ES	7	5	8	50	0.120136695345369	0.926419659006381	50	0.293157262905162	28	0.217296113847838	26	-0.730598290598291
DROSHA_ME_6|7_5_8	DROSHA	ME	6|7	5	8	50	0.41452116997939	0.499797093230441	50	-0.310732292917167	28	-0.114395183360701	26	0.693675213675214
DSN1_ES_3.1:3.2_2_4	DSN1	ES	3.1:3.2	2	4	50	0.0518940981987261	0.198964065814521	51	-0.306733336350061	30	-0.0327030033370412	26	-0.736194231994075
DSP_AD_23.2_23.1_24	DSP	AD	23.2	23.1	24	50	0.835095315999354	0.90637017829508	51	-0.0286877828054299	NA	NA	26	-0.727863247863248
DST_ES_106_105_107	DST	ES	106	105	107	50	0.511139984342492	0.846058458336163	51	0.266485637056406	30	0.301702082187311	26	0.676581196581196
DST_ES_43:44:45:46.1:48_42_49	DST	ES	43:44:45:46.1:48	42	49	50	0.142964067731954	0.0110616623229676	51	0.280413584089508	30	0.236929922135706	26	-0.726495726495726
DSTYK_ES_12_11.2_13	DSTYK	ES	12	11.2	13	50	0.86044943641736	0.474097487203748	51	-0.0504977375565611	23	0.153162055335968	26	0.649230769230769
DTD2_AD_1.2_1.1_2	DTD2	AD	1.2	1.1	2	50	0.0403593228624229	0.487950056112739	51	0.0901830358383717	11	-0.490909090909091	26	0.742222222222222
DTNA_ES_16_13_17	DTNA	ES	16	13	17	50	0.760524600130435	0.446642259470211	51	0.116928153337195	29	0.0139649528060895	26	0.535296551721479
DTNA_ES_20_19_22	DTNA	ES	20	19	22	50	0.345828743162196	0.136070149477919	51	0.296241470676786	NA	NA	24	-0.477769983513384
DTNB_ES_12_11_13	DTNB	ES	12	11	13	50	0.259603144628796	0.00327971196096089	51	-0.0276948141237463	20	0.17593984962406	26	-0.677264957264957
DTNB_ES_17_16_19	DTNB	ES	17	16	19	50	0.111731985740008	0.120965631131361	51	0.116051919101858	20	-0.203250553993983	26	-0.69018296116493
DTNB_ES_20_19_21	DTNB	ES	20	19	21	50	0.551800908346691	0.0651872769204649	51	-0.182321995821754	NA	NA	24	0.593845998868419
DTNB_ES_21_20_22	DTNB	ES	21	20	22	50	0.0621404362297328	0.639809339762913	51	0.0404986538260626	20	-0.00601503759398496	26	-0.634871794871795
DTNBP1_ES_4.2_3_5	DTNBP1	ES	4.2	3	5	50	0.153504657134149	0.541457677047593	51	0.0578746125626079	30	0.365072302558398	26	0.816068376068376
DTWD1_ES_6_3_8	DTWD1	ES	6	3	8	50	0.257328697555735	0.209820419753866	51	-0.0373311613480465	15	0.242857142857143	26	-0.694358974358974
